Time,Source User,Target User,Computer,Auth Type,Logon Type,Orientation,Status
2026-04-25T05:46:15.746Z,,CodexSandboxOffline,DESKTOP-C332RF6,,2,LogOff,LogOff
2026-04-25T05:46:28.127Z,PC,CodexSandboxOffline,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-04-25T05:46:28.166Z,PC,CodexSandboxOffline,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-04-25T05:46:28.279Z,PC,CodexSandboxOffline,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-04-25T05:46:28.594Z,,CodexSandboxOffline,DESKTOP-C332RF6,,2,LogOff,LogOff
2026-04-25T05:46:28.603Z,,CodexSandboxOffline,DESKTOP-C332RF6,,2,LogOff,LogOff
2026-04-25T05:46:28.723Z,,CodexSandboxOffline,DESKTOP-C332RF6,,2,LogOff,LogOff
2026-04-25T05:47:09.323Z,PC,CodexSandboxOffline,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-04-25T05:47:09.482Z,PC,CodexSandboxOffline,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-04-25T05:47:09.500Z,PC,CodexSandboxOffline,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-04-25T05:47:09.835Z,,CodexSandboxOffline,DESKTOP-C332RF6,,2,LogOff,LogOff
2026-04-25T05:47:10.160Z,,CodexSandboxOffline,DESKTOP-C332RF6,,2,LogOff,LogOff
2026-04-25T05:47:10.164Z,,CodexSandboxOffline,DESKTOP-C332RF6,,2,LogOff,LogOff
2026-04-25T05:47:18.332Z,PC,CodexSandboxOffline,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-04-25T05:47:18.368Z,PC,CodexSandboxOffline,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-04-25T05:47:18.500Z,PC,CodexSandboxOffline,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-04-25T05:47:18.721Z,,CodexSandboxOffline,DESKTOP-C332RF6,,2,LogOff,LogOff
2026-04-25T05:47:18.746Z,,CodexSandboxOffline,DESKTOP-C332RF6,,2,LogOff,LogOff
2026-04-25T05:47:18.870Z,,CodexSandboxOffline,DESKTOP-C332RF6,,2,LogOff,LogOff
2026-04-25T06:00:41.236Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T06:00:42.198Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T06:02:23.435Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T06:03:02.459Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T06:03:18.446Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T06:15:57.086Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T06:30:55.959Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T06:30:57.222Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T06:32:47.914Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T06:34:57.940Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T06:38:25.485Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T06:45:56.018Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T06:45:57.287Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T06:46:33.662Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T06:48:02.478Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T06:48:02.762Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T07:01:01.056Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T07:01:01.156Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T07:04:41.523Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T07:06:27.774Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T07:06:45.891Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T07:11:44.807Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T07:30:56.137Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T07:30:57.167Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T07:33:02.406Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T07:33:02.738Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T07:34:15.987Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T07:39:13.380Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T07:48:21.432Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T07:49:11.625Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T07:49:12.033Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T07:49:41.611Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T07:53:27.338Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T07:57:19.511Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T08:01:26.553Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
