Time,User,Computer,Process Name,Start/End
2026-05-04T18:01:51.736Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:52.970Z,PC,DESKTOP-C332RF6,C:\Python313\python.exe,Start
2026-05-04T18:01:53.819Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:55.889Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:57.830Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:57.973Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:58.093Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:58.097Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:59.528Z,PC,DESKTOP-C332RF6,C:\Program Files\Git\cmd\git.exe,Start
2026-05-04T18:01:59.547Z,PC,DESKTOP-C332RF6,C:\Program Files\Git\mingw64\bin\git.exe,Start
2026-05-04T18:02:00.043Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:41.342Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:43.415Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:44.374Z,PC,DESKTOP-C332RF6,C:\Python313\python.exe,Start
2026-05-04T18:01:45.494Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:46.235Z,PC,DESKTOP-C332RF6,C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,Start
2026-05-04T18:01:47.575Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:47.820Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:48.084Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:48.088Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:49.654Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:50.138Z,PC,DESKTOP-C332RF6,C:\Users\PC\AppData\Local\Programs\Microsoft VS Code\Code.exe,Start
2026-05-04T18:01:50.160Z,PC,DESKTOP-C332RF6,C:\Users\PC\AppData\Local\Programs\Microsoft VS Code\Code.exe,End
2026-05-04T18:01:30.959Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:33.041Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:35.119Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:37.203Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:37.806Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:38.071Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:38.075Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:39.274Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:17.784Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:18.059Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:18.063Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:18.472Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:19.176Z,SYSTEM,DESKTOP-C332RF6,C:\Program Files\Winlogbeat\winlogbeat-9.3.2-windows-x86_64\winlogbeat.exe,Start
2026-05-04T18:01:20.463Z,PC,DESKTOP-C332RF6,C:\Program Files\Mozilla Firefox\firefox.exe,Start
2026-05-04T18:01:20.553Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:22.637Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:24.718Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:26.795Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:27.798Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:28.061Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:28.065Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:28.877Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:07.772Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:08.053Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:01:08.058Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
