Time,Source User,Target User,Computer,Auth Type,Logon Type,Orientation,Status
2026-03-08T09:32:28.579Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T09:40:48.614Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T09:40:52.383Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T09:40:55.589Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T09:49:38.986Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T09:59:36.442Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:06:45.100Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:11:17.000Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:11:56.461Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:13:13.311Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:13:18.647Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:13:38.017Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:17:39.369Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:20:39.601Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:21:01.807Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:21:54.406Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:22:08.578Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:24:01.644Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:24:09.130Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:24:13.990Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:27:17.011Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:29:40.976Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:41:10.418Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:55:52.106Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:57:11.167Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:58:08.738Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T10:58:08.850Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T11:07:05.332Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T11:07:09.566Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T11:13:21.961Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T11:14:41.106Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T11:22:18.990Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T11:26:32.294Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T11:26:38.381Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T11:35:48.948Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T11:35:49.546Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T11:35:51.012Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T11:49:44.448Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T11:55:52.421Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T11:59:36.802Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T12:00:04.869Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T12:12:40.377Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T12:17:06.222Z,DESKTOP-C332RF6$,UMFD-36,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-03-08T12:17:06.279Z,DESKTOP-C332RF6$,DWM-36,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-03-08T12:17:06.279Z,DESKTOP-C332RF6$,DWM-36,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-03-08T12:17:06.279Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T12:17:06.370Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T12:17:08.308Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T12:17:17.086Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T12:17:17.234Z,,UMFD-35,DESKTOP-C332RF6,,2,LogOff,LogOff
2026-03-08T12:17:18.257Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T20:44:08.166Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T20:44:08.647Z,,DWM-35,DESKTOP-C332RF6,,2,LogOff,LogOff
2026-03-08T20:44:08.647Z,,DWM-35,DESKTOP-C332RF6,,2,LogOff,LogOff
2026-03-08T20:44:11.450Z,DESKTOP-C332RF6$,PC,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-03-08T20:44:11.450Z,DESKTOP-C332RF6$,PC,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-03-08T20:44:11.594Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T20:44:25.475Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T20:45:58.144Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T20:46:21.460Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T20:49:01.834Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T20:49:15.122Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T20:49:47.465Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T20:50:07.549Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T20:50:07.757Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T20:51:31.754Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T20:51:32.809Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T20:51:44.192Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T20:52:39.205Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T20:54:09.491Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T20:59:13.895Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T20:59:35.169Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T21:06:51.709Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T21:13:22.763Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T21:13:24.512Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T21:13:25.042Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T21:13:28.116Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T21:13:41.404Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T21:14:25.424Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T21:14:25.454Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T21:16:23.448Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T21:22:39.936Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T21:30:34.746Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T21:30:36.360Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T21:40:48.324Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T21:41:04.561Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T21:44:37.000Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T21:53:16.652Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T22:06:45.339Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T22:22:40.120Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T22:26:40.906Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T22:30:10.243Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T22:38:31.103Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T22:40:48.342Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T22:44:47.868Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T22:44:47.912Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T22:44:51.313Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T22:51:47.408Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T22:51:51.341Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T22:51:51.445Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T22:51:51.524Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T22:51:54.318Z,DESKTOP-C332RF6$,UMFD-37,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-03-08T22:51:54.356Z,DESKTOP-C332RF6$,DWM-37,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-03-08T22:51:54.356Z,DESKTOP-C332RF6$,DWM-37,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-03-08T22:51:54.366Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T22:51:54.438Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T22:52:03.222Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-08T22:52:03.505Z,,UMFD-36,DESKTOP-C332RF6,,2,LogOff,LogOff
2026-03-08T22:52:04.485Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-09T10:15:06.628Z,,DWM-36,DESKTOP-C332RF6,,2,LogOff,LogOff
