Time,User,Computer,Process Name,Start/End
2026-03-30T09:21:18.167Z,PC,DESKTOP-C332RF6,C:\Program Files\Mozilla Firefox\firefox.exe,Start
2026-03-30T09:21:18.175Z,PC,DESKTOP-C332RF6,C:\Program Files\Mozilla Firefox\firefox.exe,Start
2026-03-30T09:21:29.786Z,PC,DESKTOP-C332RF6,C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,Start
2026-03-30T09:21:51.959Z,PC,DESKTOP-C332RF6,C:\Program Files\Mozilla Firefox\firefox.exe,Start
2026-03-30T09:21:51.971Z,PC,DESKTOP-C332RF6,C:\Program Files\Mozilla Firefox\firefox.exe,Start
2026-03-30T09:21:55.630Z,PC,DESKTOP-C332RF6,C:\Program Files\Mozilla Firefox\firefox.exe,Start
2026-03-30T09:21:55.642Z,PC,DESKTOP-C332RF6,C:\Program Files\Mozilla Firefox\firefox.exe,Start
2026-03-30T09:21:59.791Z,PC,DESKTOP-C332RF6,C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,Start
2026-03-30T09:22:00.873Z,PC,DESKTOP-C332RF6,C:\Program Files\Mozilla Firefox\firefox.exe,Start
2026-03-30T09:22:00.881Z,PC,DESKTOP-C332RF6,C:\Program Files\Mozilla Firefox\firefox.exe,Start
2026-03-30T09:22:04.520Z,PC,DESKTOP-C332RF6,C:\Program Files\Mozilla Firefox\firefox.exe,Start
2026-03-30T09:22:04.527Z,PC,DESKTOP-C332RF6,C:\Program Files\Mozilla Firefox\firefox.exe,Start
2026-03-30T09:22:29.801Z,PC,DESKTOP-C332RF6,C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,Start
2026-03-30T09:22:45.214Z,PC,DESKTOP-C332RF6,C:\Program Files\Mozilla Firefox\firefox.exe,Start
2026-03-30T09:22:59.815Z,PC,DESKTOP-C332RF6,C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,Start
2026-03-30T09:23:12.861Z,SYSTEM,DESKTOP-C332RF6,C:\Windows\System32\DriverStore\FileRepository\asussci2.inf_amd64_d5b92bc7afd7593a\ASUSSoftwareManager\AsusUpdateChecker.exe,Start
2026-03-30T09:23:29.820Z,PC,DESKTOP-C332RF6,C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,Start
2026-03-30T09:23:44.639Z,PC,DESKTOP-C332RF6,C:\Windows\System32\taskhostw.exe,Start
2026-03-30T09:23:44.639Z,PC,DESKTOP-C332RF6,C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Office16\ActionsServer\ActionsServer.exe,Start
2026-03-30T09:23:44.663Z,PC,DESKTOP-C332RF6,C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Office16\ActionsServer\ActionsServer.exe,Start
2026-03-30T09:23:44.682Z,SYSTEM,DESKTOP-C332RF6,C:\Windows\System32\taskhostw.exe,Start
2026-03-30T09:23:44.695Z,PC,DESKTOP-C332RF6,C:\Program Files\Microsoft Office\root\Office16\SDXHelper.exe,Start
2026-03-30T09:23:44.749Z,SYSTEM,DESKTOP-C332RF6,C:\Windows\UUS\Packages\Preview\amd64\MoUsoCoreWorker.exe,Start
2026-03-30T09:23:45.156Z,PC,DESKTOP-C332RF6,C:\Program Files\Microsoft Office\root\Office16\SDXHelper.exe,Start
2026-03-30T09:23:59.829Z,PC,DESKTOP-C332RF6,C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,Start
